	clf_name	comb	features_number	accuracy	f1_score	precision	recall	true_positives	true_negatives	false_positives	false_negatives
0	Bayesiano_TF	('stop_words',)	48099	0.8688725490196079	0.8646057748870303	0.865588138200664	0.8637157814309797	5977	3949	789	709
1	Bayesiano_TF	('stemming',)	32900	0.8722864145658263	0.8694185474606552	0.8673753112855899	0.8723819433562466	5829	4136	602	857
2	Bayesiano_TF	('lemmatization',)	36795	0.8731617647058824	0.8702093485142632	0.8683149128032817	0.8728223083408475	5849	4126	612	837
3	Bayesiano_TF	('urls',)	40405	0.873686974789916	0.8707815963557358	0.868830032820542	0.8735169801581324	5847	4134	604	839
4	Bayesiano_TF	('norm_letters',)	47550	0.8744747899159664	0.8712718657275876	0.8698881951175529	0.872960163099826	5896	4094	644	790
5	Bayesiano_TF	('pruning10',)	4348	0.8637079831932774	0.861046667981426	0.8586984141696629	0.8652684231347496	5724	4143	595	962
6	Bayesiano_TF	('pruning5',)	7822	0.8686099439775911	0.8660044777481544	0.8636410467096867	0.8701327042248648	5758	4165	573	928
7	Bayesiano_TF	('stop_words', 'stemming')	32814	0.8720238095238095	0.8683277256745627	0.8679580828031224	0.8687139713572725	5938	4024	714	748
8	Bayesiano_TF	('stop_words', 'lemmatization')	36731	0.8711484593837535	0.8674270945232261	0.8670583666295524	0.8678124069156812	5933	4019	719	753
9	Bayesiano_TF	('stop_words', 'urls')	40155	0.8712359943977591	0.8676084998179536	0.8670073873590164	0.8682561496101997	5922	4031	707	764
10	Bayesiano_TF	('stop_words', 'norm_letters')	47300	0.8697478991596639	0.8654750049223472	0.8665676162176063	0.864494359350707	5986	3950	788	700
11	Bayesiano_TF	('stop_words', 'pruning10')	4163	0.8583683473389355	0.8548036271945516	0.8534007352941176	0.8565558571573421	5798	4008	730	888
12	Bayesiano_TF	('stop_words', 'pruning5')	7615	0.8630952380952381	0.8596415901796273	0.8582322573942778	0.8613935585114691	5826	4034	704	860
13	Bayesiano_TF	('stemming', 'urls')	24956	0.8708858543417367	0.8684100034855293	0.86597902513362	0.8728764779690606	5758	4191	547	928
14	Bayesiano_TF	('stemming', 'norm_letters')	32097	0.8726365546218487	0.8697488429497069	0.8677422389859437	0.872619582611019	5835	4134	604	851
